reasonableness_class,atlas_row_index,nct_id,arm_group_id,arm_title,tissue_type,line_of_therapy,therapy_class,is_combination,biomarker,model_orr_pct,model_orr_pct_source,orr_endpoint_title,ctgov_outcome_title,ctgov_class_title,ctgov_category_title,ctgov_measurement_value,ctgov_measurement_denominator,ctgov_verified_orr_pct,used_by_n_target_rows,used_as_support_cells,target_surface_pair_ids,source_url,api_url
ctgov_verified_orr_like,6202,NCT00073008,OG001,Lapatinib 500 mg BID,nsclc,2L,targeted_therapy,False,no,0,ctgov,Tumor Response in the Targeted Population Through the End of Treatment,Tumor Response in the Targeted Population Through the End of Treatment,Complete response,,0,32.0,0.0,31,disease_therapy;global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT00073008,https://clinicaltrials.gov/api/v2/studies/NCT00073008
ctgov_verified_orr_like,6392,NCT04439331,OG000,Treatment (defactinib),multiple_solid_tumors,maintenance,targeted_therapy,False,no,3.2,ctgov,Objective Response Rate (ORR),Objective Response Rate (ORR),,,3.2,30.0,3.2,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT04439331,https://clinicaltrials.gov/api/v2/studies/NCT04439331
ctgov_verified_orr_like,6655,NCT00824408,OG000__randomization_phase_volasertib_300_m_1c83324b,Randomization Phase: Volasertib 300 mg,nsclc,neoadjuvant,targeted_therapy,False,no,21.8919,ctgov,"Objective Tumor Response, Defined as Complete Response (CR), and Partial Response (PR), Evaluated According to RECIST Criteria.","Objective Tumor Response, Defined as Complete Response (CR), and Partial Response (PR), Evaluated According to RECIST Criteria.",Aggregate response categories,Complete response (CR); Partial response (PR),8.1,37.0,21.89189189189189,32,disease_therapy;global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT00824408,https://clinicaltrials.gov/api/v2/studies/NCT00824408
ctgov_verified_orr_like,7078,NCT01896869,OG001__folfirinox_afe4c624,FOLFIRINOX,pancreatic,adjuvant,chemotherapy;supportive_care_or_symptom_control,False,no,10.3448,ctgov,Objective Response Rate,Objective Response Rate,,,3,29.0,10.344827586206897,27,disease_therapy;fallback_global_therapy;global_therapy,breast::docetaxel;breast::doxorubicin;breast::gemcitabine;breast::paclitaxel;crc::irinotecan;crc::oxaliplatin;crc::pemetrexed;crc::raltitrexed;gastric::irinotecan;gastric::pemetrexed;hnscc::methotrexate;nsclc::docetaxel;nsclc::epirubicin;nsclc::gemcitabine;nsclc::idarubicin;nsclc::irinotecan;nsclc::mitoxantrone;nsclc::paclitaxel;nsclc::pemetrexed;ovarian::altretamine;ovarian::docetaxel;ovarian::gemcitabine;ovarian::paclitaxel;ovarian::pemetrexed;ovarian::topotecan;pdac::gemcitabine;prostate::mitoxantrone,https://clinicaltrials.gov/study/NCT01896869,https://clinicaltrials.gov/api/v2/studies/NCT01896869
ctgov_verified_orr_like,7139,NCT00459342,OG000,Dasatinib,nsclc,adjuvant,targeted_therapy,False,no,3.33333,ctgov,Number of Participants With Objective Response (Complete Response (CR) or Partial Response (PR)),Number of Participants With Objective Response (Complete Response (CR) or Partial Response (PR)),Partial Remission,,1,30.0,3.3333333333333335,33,disease_therapy;global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT00459342,https://clinicaltrials.gov/api/v2/studies/NCT00459342
optional_exclude_for_confirmed_orr_only,7251,NCT00872989,OG002,Vandetanib,ovarian_fallopian_peritoneal,maintenance,targeted_therapy,False,no,3.33333,ctgov,"Number of Participants With a Complete Response, Partial Response, Stable Disease, or Increasing Disease After Treatment With Single Agent Vandetanib Following Progression on Single Agent Docetaxel","Number of Participants With a Complete Response, Partial Response, Stable Disease, or Increasing Disease After Treatment With Single Agent Vandetanib Following Progression on Single Agent Docetaxel",Unconfirmed Partial Response,,1,30.0,3.3333333333333335,33,disease_therapy;fallback_disease_baseline;global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::volasertib;ovarian::bortezomib;ovarian::mifepristone;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT00872989,https://clinicaltrials.gov/api/v2/studies/NCT00872989
ctgov_verified_orr_like,7593,NCT03994601,OG000__treatment_1a_cohort_1_17945808,Treatment 1A: Cohort 1,multiple_solid_tumors,2L+,targeted_therapy,False,no,0,ctgov,"Objective Response Rate in Cohorts 1A, 1B and 2B","Objective Response Rate in Cohorts 1A, 1B and 2B",,,0,4.0,0.0,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT03994601,https://clinicaltrials.gov/api/v2/studies/NCT03994601
ctgov_verified_orr_like,7594,NCT03994601,OG001__treatment_1a_cohort_2_cc867676,Treatment 1A: Cohort 2,multiple_solid_tumors,2L+,targeted_therapy,False,no,25,ctgov,"Objective Response Rate in Cohorts 1A, 1B and 2B","Objective Response Rate in Cohorts 1A, 1B and 2B",,,25.0,4.0,25.0,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT03994601,https://clinicaltrials.gov/api/v2/studies/NCT03994601
ctgov_verified_orr_like,7595,NCT03994601,OG002__treatment_1a_cohort_3_9921ebd9,Treatment 1A: Cohort 3,multiple_solid_tumors,2L+,targeted_therapy,False,no,20,ctgov,"Objective Response Rate in Cohorts 1A, 1B and 2B","Objective Response Rate in Cohorts 1A, 1B and 2B",,,20.0,5.0,20.0,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT03994601,https://clinicaltrials.gov/api/v2/studies/NCT03994601
ctgov_verified_orr_like,7596,NCT03994601,OG003,Treatment 1A: Cohort 4,multiple_solid_tumors,2L+,targeted_therapy,False,no,0,ctgov,"Objective Response Rate in Cohorts 1A, 1B and 2B","Objective Response Rate in Cohorts 1A, 1B and 2B",,,0,6.0,0.0,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT03994601,https://clinicaltrials.gov/api/v2/studies/NCT03994601
ctgov_verified_orr_like,7597,NCT03994601,OG004,Treatment 1A: Cohort 5,multiple_solid_tumors,2L+,targeted_therapy,False,no,0,ctgov,"Objective Response Rate in Cohorts 1A, 1B and 2B","Objective Response Rate in Cohorts 1A, 1B and 2B",,,0,5.0,0.0,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT03994601,https://clinicaltrials.gov/api/v2/studies/NCT03994601
ctgov_verified_orr_like,7598,NCT03994601,OG005,Treatment 1A: Cohort 6,multiple_solid_tumors,2L+,targeted_therapy,False,no,0,ctgov,"Objective Response Rate in Cohorts 1A, 1B and 2B","Objective Response Rate in Cohorts 1A, 1B and 2B",,,0,5.0,0.0,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT03994601,https://clinicaltrials.gov/api/v2/studies/NCT03994601
ctgov_verified_orr_like,7605,NCT03994601,OG001__treatment_2c_cohort_2_bd072e83,Treatment 2C: Cohort 2,multiple_solid_tumors,2L+,targeted_therapy,False,no,0,ctgov,Objective Response Rate by BICR in Cohort 2C,Objective Response Rate by BICR in Cohort 2C,,,0,12.0,0.0,30,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT03994601,https://clinicaltrials.gov/api/v2/studies/NCT03994601
ctgov_verified_orr_like,7611,NCT01719744,OG000,ENMD-2076,sarcoma_gist_bone,2L+,targeted_therapy,False,no,8,ctgov,Objective Response Rate,Objective Response Rate,,,8,25.0,8.0,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT01719744,https://clinicaltrials.gov/api/v2/studies/NCT01719744
ctgov_verified_orr_like,7646,NCT00753675,OG000,Arm A Vandetanib 300 mg,biliary,adjuvant,targeted_therapy,False,no,96.4286,ctgov,"Objective Tumor Response Rate (CR+PR),","Objective Tumor Response Rate (CR+PR),",Objective Response = NO,,54,56.0,96.42857142857143,32,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT00753675,https://clinicaltrials.gov/api/v2/studies/NCT00753675
ctgov_verified_orr_like,7820,NCT00076024,OG000__axitinib_phase_2_open_label_5bd28869,"Axitinib (Phase 2, Open-label)",breast,adjuvant,targeted_therapy,False,no,6.3,ctgov,Percentage of Participants With Objective Response (OR) for Phase 2 (Open-label),Percentage of Participants With Objective Response (OR) for Phase 2 (Open-label),,,6.3,16.0,6.3,33,disease_therapy;global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT00076024,https://clinicaltrials.gov/api/v2/studies/NCT00076024
ctgov_verified_orr_like,7874,NCT02401815,OG000__p000,Part 1: CGT9486 250 mg QD,sarcoma_gist_bone,2L+,diagnostic_or_assessment;targeted_therapy,False,no,0,ctgov,"Part 1: Overall Response Rate (ORR): Percentage of Participants With Best Overall Response of Complete Response (CR) or Partial Response (PR), as Assessed Using RECIST V1.1","Part 1: Overall Response Rate (ORR): Percentage of Participants With Best Overall Response of Complete Response (CR) or Partial Response (PR), as Assessed Using RECIST V1.1",,,0,3.0,0.0,27,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT02401815,https://clinicaltrials.gov/api/v2/studies/NCT02401815
ctgov_verified_orr_like,7875,NCT02401815,OG001__p001,Part 1: CGT9486 350 mg QD,sarcoma_gist_bone,2L+,diagnostic_or_assessment;targeted_therapy,False,no,0,ctgov,"Part 1: Overall Response Rate (ORR): Percentage of Participants With Best Overall Response of Complete Response (CR) or Partial Response (PR), as Assessed Using RECIST V1.1","Part 1: Overall Response Rate (ORR): Percentage of Participants With Best Overall Response of Complete Response (CR) or Partial Response (PR), as Assessed Using RECIST V1.1",,,0,4.0,0.0,27,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT02401815,https://clinicaltrials.gov/api/v2/studies/NCT02401815
ctgov_verified_orr_like,7876,NCT02401815,OG002__p002,Part 1: CGT9486 500 mg QD,sarcoma_gist_bone,2L+,diagnostic_or_assessment;targeted_therapy,False,no,0,ctgov,"Part 1: Overall Response Rate (ORR): Percentage of Participants With Best Overall Response of Complete Response (CR) or Partial Response (PR), as Assessed Using RECIST V1.1","Part 1: Overall Response Rate (ORR): Percentage of Participants With Best Overall Response of Complete Response (CR) or Partial Response (PR), as Assessed Using RECIST V1.1",,,0,3.0,0.0,27,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT02401815,https://clinicaltrials.gov/api/v2/studies/NCT02401815
ctgov_verified_orr_like,7877,NCT02401815,OG003__p003,Part 1: CGT9486 1000 mg QD,sarcoma_gist_bone,2L+,diagnostic_or_assessment;targeted_therapy,False,no,14.3,ctgov,"Part 1: Overall Response Rate (ORR): Percentage of Participants With Best Overall Response of Complete Response (CR) or Partial Response (PR), as Assessed Using RECIST V1.1","Part 1: Overall Response Rate (ORR): Percentage of Participants With Best Overall Response of Complete Response (CR) or Partial Response (PR), as Assessed Using RECIST V1.1",,,14.3,7.0,14.3,27,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT02401815,https://clinicaltrials.gov/api/v2/studies/NCT02401815
ctgov_verified_orr_like,7878,NCT02401815,OG004__p004,Part 1: CGT9486 500 mg BID,sarcoma_gist_bone,2L+,diagnostic_or_assessment;targeted_therapy,False,no,0,ctgov,"Part 1: Overall Response Rate (ORR): Percentage of Participants With Best Overall Response of Complete Response (CR) or Partial Response (PR), as Assessed Using RECIST V1.1","Part 1: Overall Response Rate (ORR): Percentage of Participants With Best Overall Response of Complete Response (CR) or Partial Response (PR), as Assessed Using RECIST V1.1",,,0,6.0,0.0,27,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT02401815,https://clinicaltrials.gov/api/v2/studies/NCT02401815
ctgov_verified_orr_like,8202,NCT02574078,OG009,"Group C, ICC",nsclc,maintenance,chemotherapy,False,no,15.4,ctgov,"Objective Response Rate (ORR), Groups A-E","Objective Response Rate (ORR), Groups A-E",,,15.4,26.0,15.4,29,disease_therapy;fallback_global_therapy;global_therapy,breast::docetaxel;breast::doxorubicin;breast::gemcitabine;breast::paclitaxel;crc::fluorouracil;crc::irinotecan;crc::oxaliplatin;crc::pemetrexed;crc::raltitrexed;gastric::irinotecan;gastric::pemetrexed;hnscc::methotrexate;nsclc::docetaxel;nsclc::epirubicin;nsclc::gemcitabine;nsclc::idarubicin;nsclc::irinotecan;nsclc::mitoxantrone;nsclc::paclitaxel;nsclc::pemetrexed;ovarian::altretamine;ovarian::docetaxel;ovarian::gemcitabine;ovarian::paclitaxel;ovarian::pemetrexed;ovarian::topotecan;pdac::fluorouracil;pdac::gemcitabine;prostate::mitoxantrone,https://clinicaltrials.gov/study/NCT02574078,https://clinicaltrials.gov/api/v2/studies/NCT02574078
ctgov_verified_orr_like,8204,NCT02574078,OG011,"Group D, Erlo",nsclc,maintenance,targeted_therapy,False,no,62.5,ctgov,"Objective Response Rate (ORR), Groups A-E","Objective Response Rate (ORR), Groups A-E",,,62.5,56.0,62.5,29,disease_therapy;global_therapy,breast::bortezomib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT02574078,https://clinicaltrials.gov/api/v2/studies/NCT02574078
ctgov_verified_orr_like,8655,NCT00588237,OG000,All Patients,ovarian_fallopian_peritoneal,adjuvant,chemotherapy;targeted_therapy;antibody_biologic,False,no,60.5263,ctgov,Overall Objective Response,Overall Objective Response,Aggregate response categories,Complete Response (CR); Partial Response (PR),23.0,38.0,60.526315789473685,60,disease_therapy;fallback_disease_baseline;fallback_global_therapy;global_therapy,breast::bortezomib;breast::docetaxel;breast::doxorubicin;breast::erlotinib;breast::gefitinib;breast::gemcitabine;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::fluorouracil;crc::gefitinib;crc::irinotecan;crc::oxaliplatin;crc::pemetrexed;crc::raltitrexed;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::irinotecan;gastric::lapatinib;gastric::pemetrexed;gastric::regorafenib;gastric::sunitinib;hnscc::methotrexate;nsclc::afatinib;nsclc::bortezomib;nsclc::docetaxel;nsclc::epirubicin;nsclc::erlotinib;nsclc::gefitinib;nsclc::gemcitabine;nsclc::idarubicin;nsclc::irinotecan;nsclc::lapatinib;nsclc::mitoxantrone;nsclc::pemetrexed;nsclc::vandetanib;nsclc::volasertib;ovarian::altretamine;ovarian::bortezomib;ovarian::docetaxel;ovarian::gemcitabine;ovarian::mifepristone;ovarian::pemetrexed;ovarian::sunitinib;ovarian::temsirolimus;ovarian::topotecan;pdac::abemaciclib;pdac::erlotinib;pdac::fluorouracil;pdac::gemcitabine;pdac::sunitinib;prostate::mitoxantrone;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT00588237,https://clinicaltrials.gov/api/v2/studies/NCT00588237
